Datetime,QQQM,VOO,^VIX
2025-04-08 21:15:00+00:00,171.3,455.8,
2025-04-08 21:30:00+00:00,171.6,456.095,
2025-04-08 21:45:00+00:00,171.41,455.85,
2025-04-08 22:00:00+00:00,170.11,452.91,
2025-04-08 22:15:00+00:00,169.45,451.9,
2025-04-08 22:30:00+00:00,169.47,451.845,
2025-04-08 22:45:00+00:00,169.69,452.56,
2025-04-08 23:00:00+00:00,169.0,450.67,
2025-04-08 23:15:00+00:00,167.87,448.57,
2025-04-08 23:30:00+00:00,167.9492,448.28,
2025-04-08 23:45:00+00:00,168.89,450.82,
2025-04-09 07:15:00+00:00,,,49.90999984741211
2025-04-09 07:30:00+00:00,,,48.15999984741211
2025-04-09 07:45:00+00:00,,,48.97999954223633
2025-04-09 08:00:00+00:00,171.86,455.44,50.54999923706055
2025-04-09 08:15:00+00:00,171.75,454.81,50.59000015258789
2025-04-09 08:30:00+00:00,171.67,455.9,49.86000061035156
2025-04-09 08:45:00+00:00,172.5,457.56,48.5099983215332
2025-04-09 09:00:00+00:00,172.61,457.95,47.97999954223633
2025-04-09 09:15:00+00:00,171.93,456.93,48.38999938964844
2025-04-09 09:30:00+00:00,172.0,456.07,49.119998931884766
2025-04-09 09:45:00+00:00,171.78,455.5,49.61000061035156
2025-04-09 10:00:00+00:00,171.41,455.33,49.619998931884766
2025-04-09 10:15:00+00:00,171.02,453.61,50.79999923706055
2025-04-09 10:30:00+00:00,170.69,454.47,50.790000915527344
2025-04-09 10:45:00+00:00,171.42,454.82,49.20000076293945
2025-04-09 11:00:00+00:00,169.55,450.99,53.20000076293945
2025-04-09 11:15:00+00:00,169.5,450.85,54.939998626708984
2025-04-09 11:30:00+00:00,168.0,446.74,57.810001373291016
2025-04-09 11:45:00+00:00,168.76,448.48,56.02000045776367
2025-04-09 12:00:00+00:00,169.0,449.11,56.09000015258789
2025-04-09 12:15:00+00:00,168.5795,447.66,57.130001068115234
2025-04-09 12:30:00+00:00,169.2786,449.6097,56.2599983215332
2025-04-09 12:45:00+00:00,170.5493,451.65,53.869998931884766
2025-04-09 13:00:00+00:00,171.06,453.46,53.08000183105469
2025-04-09 13:15:00+00:00,171.05,,52.65999984741211
2025-04-09 13:30:00+00:00,172.63499450683594,457.7619934082031,49.95000076293945
2025-04-09 13:45:00+00:00,173.41510009765625,459.45001220703125,49.75
2025-04-09 14:00:00+00:00,172.5,456.9421081542969,51.08000183105469
2025-04-09 14:15:00+00:00,173.44500732421875,458.6000061035156,50.150001525878906
2025-04-09 14:30:00+00:00,173.14010620117188,457.42999267578125,50.709999084472656
2025-04-09 14:45:00+00:00,171.2100067138672,453.2865905761719,52.470001220703125
2025-04-09 15:00:00+00:00,172.48019409179688,456.32000732421875,51.119998931884766
2025-04-09 15:15:00+00:00,172.98609924316406,457.95001220703125,50.150001525878906
2025-04-09 15:30:00+00:00,171.72000122070312,455.1300048828125,51.68000030517578
2025-04-09 15:45:00+00:00,172.18690490722656,455.8599853515625,51.209999084472656
2025-04-09 16:00:00+00:00,173.7899932861328,459.44989013671875,49.119998931884766
2025-04-09 16:15:00+00:00,173.52499389648438,458.7900085449219,49.939998626708984
2025-04-09 16:30:00+00:00,173.74000549316406,459.3599853515625,49.75
2025-04-09 16:45:00+00:00,174.25999450683594,460.55999755859375,49.16999816894531
2025-04-09 17:00:00+00:00,174.89999389648438,461.6600036621094,47.959999084472656
2025-04-09 17:15:00+00:00,182.8699951171875,481.3599853515625,37.0099983215332
2025-04-09 17:30:00+00:00,184.05499267578125,483.5199890136719,39.290000915527344
2025-04-09 17:45:00+00:00,187.42300415039062,491.56500244140625,36.13999938964844
2025-04-09 18:00:00+00:00,187.5399932861328,491.10101318359375,37.540000915527344
2025-04-09 18:15:00+00:00,189.24000549316406,494.5199890136719,35.810001373291016
2025-04-09 18:30:00+00:00,187.49000549316406,490.0,35.7400016784668
2025-04-09 18:45:00+00:00,186.52000427246094,487.9100036621094,36.09000015258789
2025-04-09 19:00:00+00:00,188.9770050048828,493.989990234375,34.38999938964844
2025-04-09 19:15:00+00:00,190.25,496.760009765625,32.369998931884766
2025-04-09 19:30:00+00:00,190.8000030517578,497.9200134277344,33.189998626708984
2025-04-09 19:45:00+00:00,191.42999267578125,499.4599914550781,33.40999984741211
2025-04-09 20:00:00+00:00,191.22,498.7911,33.619998931884766
2025-04-09 20:15:00+00:00,191.72,500.72,
2025-04-09 20:30:00+00:00,191.88,501.09,
2025-04-09 20:45:00+00:00,192.25,501.69,
2025-04-09 21:00:00+00:00,192.8,501.975,
2025-04-09 21:15:00+00:00,191.6,501.21,
2025-04-09 21:30:00+00:00,191.97,500.68,
2025-04-09 21:45:00+00:00,191.3,500.0,
2025-04-09 22:00:00+00:00,191.85,501.31,
2025-04-09 22:15:00+00:00,191.94,501.65,
2025-04-09 22:30:00+00:00,191.9,502.02,
2025-04-09 22:45:00+00:00,192.1885,502.05,
2025-04-09 23:00:00+00:00,191.89,501.539,
2025-04-09 23:15:00+00:00,191.93,501.6,
2025-04-09 23:30:00+00:00,191.95,501.829,
2025-04-09 23:45:00+00:00,191.86,501.585,
2025-04-10 07:15:00+00:00,,,35.13999938964844
2025-04-10 07:30:00+00:00,,,37.86000061035156
2025-04-10 07:45:00+00:00,,,36.72999954223633
2025-04-10 08:00:00+00:00,188.07,491.7,36.75
2025-04-10 08:15:00+00:00,187.5,490.89,37.119998931884766
2025-04-10 08:30:00+00:00,187.34,490.2,38.279998779296875
2025-04-10 08:45:00+00:00,186.7,488.5,38.65999984741211
2025-04-10 09:00:00+00:00,187.17,489.35,38.099998474121094
2025-04-10 09:15:00+00:00,187.17,488.89,37.97999954223633
2025-04-10 09:30:00+00:00,187.25,489.18,37.75
2025-04-10 09:45:00+00:00,187.4,489.55,37.04999923706055
2025-04-10 10:00:00+00:00,188.26,492.17,35.84000015258789
2025-04-10 10:15:00+00:00,188.13,492.04,35.95000076293945
2025-04-10 10:30:00+00:00,188.4,492.5,35.869998931884766
2025-04-10 10:45:00+00:00,187.8,490.66,36.630001068115234
2025-04-10 11:00:00+00:00,187.85,490.63,37.15999984741211
2025-04-10 11:15:00+00:00,188.0,490.87,36.939998626708984
2025-04-10 11:30:00+00:00,188.4,491.62,36.65999984741211
2025-04-10 11:45:00+00:00,188.05,492.0,36.470001220703125
2025-04-10 12:00:00+00:00,187.34,490.5301,37.04999923706055
2025-04-10 12:15:00+00:00,186.98,490.54,37.029998779296875
2025-04-10 12:30:00+00:00,187.07,489.45,36.790000915527344
2025-04-10 12:45:00+00:00,187.15,490.08,36.90999984741211
2025-04-10 13:00:00+00:00,187.0,489.8484,36.88999938964844
2025-04-10 13:15:00+00:00,186.85,,35.75
